Function,Alpha,Best_Temperature,Lambda
APS,0.1,0.5892048006450096,
APS,0.15,0.5866123288740522,
APS,0.2,0.6030238548319896,
APS,0.25,0.5935172289295757,
RAPS,0.1,0.582136440352461,0.9047042846544091
RAPS,0.15,0.5782262270675064,0.7861482529157288
RAPS,0.2,0.5907701532374603,0.28165826182957243
RAPS,0.25,0.5905289470479107,0.5720225436223445
SAPS,0.1,0.5871605758993171,0.6166837315217444
SAPS,0.15,0.5849677249434059,0.3903424287238354
SAPS,0.2,0.5903654496440345,0.15763270442323452
SAPS,0.25,0.5707635467094111,0.9533473612566092
