Function,Alpha,Best_Temperature,Lambda
APS,0.1,0.10004803620277909,
APS,0.15,0.10163011560180911,
APS,0.2,0.10127507234918955,
APS,0.25,0.1001202887564738,
RAPS,0.1,0.14783472169218884,0.002221013301766668
RAPS,0.15,0.10604442655126381,0.72685423959119
RAPS,0.2,0.17076839763014592,0.0010214696816065508
RAPS,0.25,0.13425468430737852,0.00013228524005083966
SAPS,0.1,0.9023853600369125,0.0007288908200120767
SAPS,0.15,1.459807320556254,0.000791446412367277
SAPS,0.2,0.4567614634290714,0.012064921458948767
SAPS,0.25,7.4608234243488125,0.0032121326278498064
